cik,ni,ocf,rev,cogs,at,at_prev,se,fyear
34563,-8462000.0,21927000.0,,,252238000.0,255942000.0,91180000.0,2013
34782,54958000.0,,,,4722826000.0,4550693000.0,585378000.0,2013
34903,162681000.0,314498000.0,637413000.0,,4219294000.0,3898565000.0,1448160000.0,2013
34956,-19541839.0,-9261571.0,158926.0,,33936209.0,3042837.0,30300767.0,2013
35214,71942000.0,18464000.0,,,1008192000.0,1079103000.0,261518000.0,2013
35527,1836000000.0,,,,130443000000.0,121894000000.0,14589000000.0,2013
36029,78868000.0,109858000.0,,,5222208000.0,4502012000.0,587647000.0,2013
36047,107728000.0,353820000.0,,,3003131000.0,3030328000.0,1044373000.0,2013
36104,5836000000.0,,19602000000.0,,364021000000.0,353855000000.0,41113000000.0,2013
36146,117060000.0,155417000.0,,,11790383000.0,9828667000.0,1354953000.0,2013
36270,1138480000.0,932324000.0,4538434000.0,,85162391000.0,83008803000.0,11305532000.0,2013
36369,-4668737.0,,41059323.0,,206699947.0,209193525.0,-19321720.0,2013
36377,,,,,,,2651111000.0,2013
36506,5937000.0,,,,572800000.0,545980000.0,65249000.0,2013
36840,7449000.0,10475000.0,,,275031000.0,260507000.0,22109000.0,2013
36966,26904000.0,431373000.0,1166951000.0,,23784493000.0,25334019000.0,2192946000.0,2013
37008,28778000.0,30268000.0,70320000.0,,1132324000.0,923163000.0,480874000.0,2013
37049,2241048.0,1833183.0,,,342145227.0,306547221.0,30790000.0,2013
37472,13151000.0,5905000.0,,,206552000.0,185777000.0,,2013
37634,,,,,69306000000.0,,18040000000.0,2013
37785,293900000.0,,3130700000.0,1929800000.0,5235200000.0,4373900000.0,1519800000.0,2013
37808,117804000.0,386084000.0,,,13563405000.0,12023976000.0,1774383000.0,2013
37996,11953000000.0,,146917000000.0,,202204000000.0,189571000000.0,26140000000.0,2013
38009,1479000000.0,,8182000000.0,,115608000000.0,104596000000.0,10604000000.0,2013
38067,-5307000.0,162805000.0,,,8952025000.0,10612432000.0,1640206000.0,2013
38074,165310000.0,470903000.0,3646899000.0,,9058742000.0,7485310000.0,5993331000.0,2013
38079,10577000.0,,354978000.0,,1678719000.0,2201862000.0,201010000.0,2013
38264,-206886.0,2250412.0,,,15566261.0,14080643.0,9724111.0,2013
38723,34407761.0,63985988.0,,,561761061.0,518288705.0,,2013
38725,81958000.0,,,,1051873000.0,976379000.0,595707000.0,2013
38777,2150200000.0,2035700000.0,7985000000.0,,15909300000.0,14354200000.0,10507100000.0,2013
38984,-10000000.0,22800000.0,5300000.0,,90123000.0,125711000.0,49918000.0,2013
39020,4040000.0,3642000.0,71550000.0,46800000.0,116375000.0,108280000.0,87422000.0,2013
